stop_id,stop_name,stop_lat,stop_lon,Zipcode
20672,W Vista Way & Hwy 78 Wb On Ramp,33.194808,-117.256965,92083
20679,W Vista Way & Valencia Dr,33.196799,-117.251585,92083
20681,Encinitas Bl & Village Park Way,33.04533,-117.249093,92024
20686,Vista Village Dr & Camino Corto,33.199928,-117.247646,92083
20687,Encinitas Bl & Willowspring Dr,33.042507,-117.24473,92024
20690,Bobier Dr & N Santa Fe Av,33.22127,-117.245644,92083
20691,Encinitas Bl & Rancho Santa Fe Rd,33.037696,-117.239347,92024
20693,S Santa Fe Av & Terrace Dr,33.196947,-117.239229,92084
20694,Vista Village Dr & Hillside Ter,33.205112,-117.23756,92084
20695,E Vista Way & Franklin Ln,33.207226,-117.236209,92084
20696,E Vista Way & Townsite Dr,33.209153,-117.235469,92084
20697,La Costa Av & Calle Timiteo,33.079664,-117.232001,92009
20699,E Vista Way & Anza Av,33.211174,-117.232452,92084
20700,S Santa Fe Av & Alta Calle,33.192457,-117.230244,92084
20701,Eucalyptus Av & Alestar St,33.200676,-117.229662,92084
20702,Via De La Valle & El Camino Real (N),32.983402,-117.226141,92014
20706,E Vista Way & Palomar Pl,33.22296,-117.226269,92084
20707,Arcadia Av & E Vista Way,33.225,-117.227255,92084
20709,S Santa Fe Av & Cypress Dr,33.18565,-117.223859,92084
20710,Poinsettia Av & Island View Way,33.136275,-117.223745,92081
20711,Poinsettia Av & Specialty Dr,33.140962,-117.219544,92081
20712,Coventry Rd & Lynmar Ln,33.203192,-117.219739,92084
20713,Via De La Valle & Cancha De Golf,32.994376,-117.212255,92067
20714,Shadowridge Dr & Sycamore Av,33.164993,-117.217243,92081
20715,Via De La Valle & Calzada Del Bosque,33.004849,-117.208622,92067
20716,S Santa Fe Av & Palmyra Dr,33.171347,-117.207138,92084
20717,S Santa Fe Av & Bosstick Bl,33.159902,-117.203507,92069
20718,Paseo Delicias & La Fremontia,33.023514,-117.198855,92067
20719,S Santa Fe Av & Las Flores Dr,33.157196,-117.200668,92069
20721,Rancho Santa Fe Rd & Capalina Rd,33.152435,-117.197111,92069
20722,Paseo Delicas & El Montevideo,33.030024,-117.1911,92067
20723,Mission Rd & Crusaders Way,33.145786,-117.175114,92069
20725,Mission Rd & Woodward St,33.142407,-117.160992,92069
20727,Mission Rd & Mulberry Dr,33.14493,-117.150498,92069
20728,Mission Rd & Richland Rd,33.14234,-117.140434,92069
20730,Mission Rd & Avenida Chapala,33.136939,-117.131128,92069
20731,Mission Rd & Auto Park Wy,33.131079,-117.123406,92029
20732,El Norte Pkwy & Bennett Av,33.152872,-117.121632,92026
20735,Country Club Ln & La Brea St,33.157684,-117.114048,92026
20736,Harmony Grove Rd & Princess Kyra Pl,33.110449,-117.113941,92029
20737,Country Club Ln & Nutmeg St,33.157407,-117.109477,92026
20738,El Norte Pkwy & Nutmeg St,33.147095,-117.106432,92026
20740,Valley Pkwy & Auto Park Wy,33.112715,-117.10248,92029
20741,Mission Av & Metcalf St,33.125347,-117.101866,92025
20742,Country Club Ln & Village Rd,33.159223,-117.100143,92026
20743,El Norte Pkwy & Iris Ln,33.144663,-117.0988,92026
20744,Country Club Ln & Eastridge Ln,33.159635,-117.096453,92026
20747,El Norte Pkwy & Seven Oaks Rd,33.146054,-117.102113,92026
20748,Country Club Ln & Iris Ln,33.160647,-117.094117,92026
20752,El Norte Pkwy & Broadway,33.139749,-117.089977,92026
20754,Valley Pkwy & Escondido Bl,33.120823,-117.085788,92025
20757,Washington Av & Juniper St,33.127834,-117.081272,92025
20758,Mission Av & Gamble St,33.131726,-117.081312,92025
20760,Mission Av & Fig St,33.132721,-117.078084,92026
20761,Washington Av & Grape St,33.129203,-117.076852,92025
20767,Grand Av & Date St,33.125943,-117.069779,92025
20771,El Norte Pkwy & Rimrock Dr,33.149456,-117.066246,92027
20776,Grand Av & Gayland St,33.132975,-117.052721,92027
20777,Grand Av & Midway Dr,33.134118,-117.050284,92027
20782,Valley Pkwy & Citrus Av,33.140911,-117.04484,92027
20783,Hwy 78 & Highgrove Dr,33.102977,-117.036713,92027
20784,Valley Pkwy & Bear Valley Pkwy,33.143401,-117.03943,92027
20785,Valley Center Rd & Lilac Rd,33.222112,-117.036746,92082
20786,Valley Pkwy & Las Brisas Dr,33.147936,-117.034367,92027
20787,Valley Center Rd & Queensbridge Rd,33.228383,-116.996232,92082
20788,Hwy 78 & Old Milky Way,33.088323,-116.991603,92027
20789,Valley Center Rd & Thundernut Ln,33.228291,-116.9761,92082
20790,Hwy 76 & Valley Center Rd,33.288655,-116.960808,92082
20791,Hwy 78 & Indian Oaks Rd,33.072209,-116.90074,92065
20792,Hwy 78 & Weekend Villa Rd,33.07027,-116.885106,92065
20799,Santa Fe Av & 5th St,33.216205,-117.392664,92055
20800,Vandegrift Bl & Commissary,33.227,-117.391945,92055
20801,Santa Fe Av & Harbor Dr,33.207928,-117.390539,92055
20802,Santa Fe Av & Nautilus St,33.212586,-117.390969,92058
20806,Coast Hwy & Surfrider Way,33.199493,-117.382689,92054
20820,Country Club Ln & Division St,33.19761,-117.365258,92054
20821,Coast Hwy & Whaley St,33.176905,-117.363731,92054
20823,Coast Hwy & Vista Way,33.172211,-117.359784,92054
20827,Carlsbad Bl & Pine Ave,33.155908,-117.350965,92008
20828,Mesa Dr & Hoover St,33.20418,-117.350332,92054
20829,Carlsbad Bl & Maple Ave,33.152392,-117.349205,92008
20831,Mesa Dr & Parnassus Cir,33.20662,-117.347018,92054
20833,Mesa Dr & Cottingham St,33.209117,-117.344848,92054
20837,Fireside St & Heritage St,33.225607,-117.338469,92058
20838,Carlsbad Bl & Tierra Del Oro St,33.133634,-117.336417,92008
20844,Vista Bella & Vista Oceana,33.216932,-117.330432,92057
20846,El Camino Real & Camino Town,33.185664,-117.328287,92054
20847,Monroe St & Chestnut Av,33.161901,-117.326649,92008
20848,El Camino Real & Marron Rd,33.178204,-117.32683,92008
20851,Avenida De Anita & Avenida De Louisa,33.175283,-117.322229,92010
20852,Avenida De Anita & Via Naranja,33.174634,-117.321249,92010
20853,Avenida De Anita & Via Esparto,33.172702,-117.32067,92010
20858,Carlsbad Bl & La Costa Av,33.084424,-117.31099,92011
20861,De Luz Rd & Pusan,33.327166,-117.312102,92055
20862,De Luz Rd & Marine Dr,33.323628,-117.31096,92055
20863,De Luz Rd & Vandegrift Bl,33.321005,-117.310374,92055
20864,Vandegrift Bl & 16th St (Area 14),33.313802,-117.309996,92055
20867,Highway 101 & El Portal St,33.056099,-117.298058,92024
20872,Hwy 101 & H St,33.04095,-117.2933,92024
