X,Y,OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date
-106.329269,31.783624,482074,60006,2778,Pebble Hills\Fierro,10600 Unit OB & Fierro Dr,31.783624,-106.329269,,,2778,,,,0,,,,01-13-2024
-106.325495,31.783557,482075,60006,2779,Pebble Hills\Pebble Village,10780 Unit OB & Pebble Village,31.783557,-106.325495,,,2779,,,,0,,,,01-13-2024
-106.311718,31.7836,482076,60006,2780,Pebble Hills\Amarillo,11100 Unit OB & Amarillo St,31.7836,-106.311718,,,2780,,,,0,,,,01-13-2024
-106.304795,31.7828490000001,482077,60006,2781,Pebble Hills\Wharf Cove,11200 Unit OB & Wharf Cove Dr,31.782849,-106.304795,,,2781,,,,0,,,,01-13-2024
-106.296992,31.782358,482078,60006,2783,Pebble Hills\ Lake Champlain,11400 Unit OB & Lake Champlain st,31.782358,-106.296992,,,2783,,,,0,,,,01-13-2024
-106.295237,31.7823710000001,482079,60006,2784,Pebble Hills\Lake Michigan,11400 Unit OB & Lake Michigan,31.782371,-106.295237,,,2784,,,,0,,,,01-13-2024
-106.2915,31.782401,482080,60006,2785,Pebble Hills\Sylvan,11500 Unit OB & Sylvan Lake Pl,31.782401,-106.2915,,,2785,,,,0,,,,01-13-2024
-106.287938,31.78245,482081,60006,2786,Pebble Hills\Stone Lake,11600 Unit OB & Stone Lake Pl,31.78245,-106.287938,,,2786,,,,0,,,,01-13-2024
-106.285223,31.7809100000001,482082,60006,2788,Saul Kleinfeld\Caballo Lake,2800 Unit IB & Caballo Lake Dr,31.78091,-106.285223,,,2788,,,,0,,,,01-13-2024
-106.285193,31.7786750000001,482083,60006,2789,Saul Klienfeld\Stockmeyere,2500 Unit IB & Stockmeyer Dr,31.778675,-106.285193,,,2789,,,,0,,,,01-13-2024
-106.285744,31.777072,482084,60006,2790,Robert Wynn\Saul Kleinfeld,2600 Unit IB & Saul Kleinfeld Dr,31.777072,-106.285744,,,2790,,,,0,,,,01-13-2024
-106.288742,31.7770590000001,482085,60006,2791,Robert Wynn\Nancy Mcdonald,2600 Unit IB & Nancy McDonald Dr,31.777059,-106.288742,,,2791,,,,0,,,,01-13-2024
-106.292481,31.777071,482086,60006,2792,Robert Wynn\Bill Howard,2500 Unit IB & Bill Howard Pl,31.777071,-106.292481,,,2792,,,,0,,,,01-13-2024
-106.293472,31.7779350000001,482087,60006,2793,Lee\Bingham,2400 Unit IB & Bingham Ct,31.777935,-106.293472,,,2793,,,,0,,,,01-13-2024
-106.29351,31.7813380000001,482088,60006,2794,Lee\Spencer,2900 Unit IB & Spencer Dr,31.781338,-106.29351,,,2794,,,,0,,,,01-13-2024
-106.294673,31.782606,482089,60006,2795,Pebble Hills\Lake Powell,11400 Unit IB & Lake Powell Pl,31.782606,-106.294673,,,2795,,,,0,,,,01-13-2024
-106.297806,31.782582,482090,60006,2796,Pebble Hills\Lake Champlain,11300 Unit IB & Lake Champlain St,31.782582,-106.297806,,,2796,,,,0,,,,01-13-2024
-106.305404,31.78335,482091,60006,2797,Pebble Hills\Wharf Cove,11200 Unit IB & Wharf Cove Dr,31.78335,-106.305404,,,2797,,,,0,,,,01-13-2024
-106.311382,31.783805,482092,60006,2798,Pebble Hills\Hickman,11100 Unit IB & Hickman St,31.783805,-106.311382,,,2798,,,,0,,,,01-13-2024
-106.324744,31.7838120000001,482093,60006,2799,Pebble Hills\Forney,10700 Unit IB & Forney Ln,31.783812,-106.324744,,,2799,,,,0,,,,01-13-2024
-106.326957,31.7838150000001,482094,60006,2800,Pebble Hills\Ivanhoe,10700 Unit IB & Ivanhoe Dr,31.783815,-106.326957,,,2800,,,,0,,,,01-13-2024
